dev_id,datetime,battery,batteryDiff,humidity,humidityDiff,temperature,temperatureDiff
r712-313f,2023-10-16 22:00:00,3.1,0.0,86.07,-2.5800000000000125,16.81,0.7399999999999984
r712-313f,2023-10-16 23:00:00,3.1,0.0,82.55,-3.519999999999996,17.59,0.7800000000000011
r712-313f,2023-10-17 00:00:00,3.1,0.0,82.27,-0.2800000000000011,17.86,0.2699999999999996
r712-313f,2023-10-17 02:00:00,3.1,0.0,73.48,-8.789999999999992,19.32,1.4600000000000009
r712-313f,2023-10-17 03:00:00,3.1,0.0,70.15,-3.3299999999999983,19.26,-0.0599999999999987
r712-313f,2023-10-17 04:00:00,3.1,0.0,68.2,-1.9500000000000028,19.07,-0.1900000000000012
r712-313f,2023-10-17 05:00:00,3.1,0.0,66.91,-1.2900000000000065,18.46,-0.6099999999999994
r712-313f,2023-10-17 06:00:00,3.1,0.0,67.13,0.2199999999999988,17.83,-0.6300000000000026
r712-313f,2023-10-17 07:00:00,3.1,0.0,66.95,-0.1799999999999926,17.24,-0.5899999999999999
r712-313f,2023-10-17 08:00:00,3.1,0.0,73.51,6.560000000000002,16.48,-0.759999999999998
r712-313f,2023-10-17 09:00:00,3.1,0.0,77.26,3.75,16.31,-0.1700000000000017
r712-313f,2023-10-17 10:00:00,3.1,0.0,80.7,3.4399999999999977,16.17,-0.139999999999997
r712-313f,2023-10-17 12:00:00,3.1,0.0,85.21,4.509999999999991,16.18,0.009999999999998
r712-313f,2023-10-17 13:00:00,3.1,0.0,85.53,0.3200000000000074,15.96,-0.2199999999999988
r712-313f,2023-10-17 14:00:00,3.1,0.0,86.0,0.4699999999999988,15.51,-0.450000000000001
r712-313f,2023-10-17 15:00:00,3.1,0.0,90.3,4.299999999999997,14.29,-1.2200000000000006
r712-313f,2023-10-17 16:00:00,3.1,0.0,90.41,0.1099999999999994,14.47,0.1800000000000015
r712-313f,2023-10-17 17:00:00,3.1,0.0,89.75,-0.6599999999999966,14.38,-0.0899999999999998
r712-313f,2023-10-17 19:00:00,3.1,0.0,87.22,-2.530000000000001,14.34,-0.0400000000000009
r712-313f,2023-10-17 20:00:00,3.1,0.0,85.82,-1.4000000000000057,14.51,0.1699999999999999
r712-313f,2023-10-17 21:00:00,3.1,0.0,85.57,-0.25,15.3,0.7900000000000009
r712-313f,2023-10-17 23:00:00,3.1,0.0,82.2,-3.3699999999999903,16.27,0.9699999999999988
r712-313f,2023-10-18 00:00:00,3.1,0.0,82.24,0.039999999999992,16.83,0.5599999999999987
r712-313f,2023-10-18 01:00:00,3.1,0.0,75.45,-6.789999999999992,18.22,1.3900000000000006
